GEOID,Population,Black,Hispanic,Asian,Householdincome,Bachelor,Households_num,Ageunder5,Age5to9,Age10to14,Age15to24,Age25to44,Age45to64,Age65to74,Age75plus,Employment,No_vehicle,Vehicle_owned,Public_transportation,person_per_room1,person_per_room2
5129,7872,33,220,8,39627.0,635,2964,389,373,527,814,1539,2247,1153,830,2905,217,2747,9,2953,11
5131,127941,7821,18931,5818,50226.0,13072,51587,8276,8672,8550,16764,32641,32523,12364,8151,58021,3242,48345,80,50094,1493
5133,16074,470,5466,27,49470.0,775,5498,1238,1267,1358,2154,3922,3897,1367,871,6657,268,5230,12,5138,360
5135,17243,166,423,35,37361.0,973,6841,868,790,1218,1873,3493,4685,2496,1820,5972,389,6452,12,6667,174
5137,12364,15,240,58,32813.0,974,4678,616,718,596,1365,2338,3414,1853,1464,4031,369,4309,0,4563,115
5139,39262,12854,1595,311,46444.0,3306,14791,2513,2531,2883,4531,9340,10495,4182,2787,15572,740,14051,39,14174,617
5141,15851,155,527,38,40763.0,1160,6951,694,984,756,1677,3023,4647,2249,1821,5538,441,6510,0,6805,146
5143,242793,8359,41790,6490,56610.0,29512,91329,15900,17630,15725,44903,68343,51920,17414,10958,118016,4198,87131,644,87596,3733
5145,77075,3445,3518,611,46345.0,6116,28599,4522,4238,6060,12122,18294,19471,7289,5079,31909,1750,26849,81,28065,534
5147,6333,1799,30,0,43717.0,402,2634,372,301,421,768,1275,1700,904,592,2665,244,2390,0,2589,45
5149,20489,377,4274,249,51070.0,1372,7541,1253,1391,1372,2568,5052,5323,2029,1501,9120,481,7060,7,7066,475
6001,1673133,170632,374542,528502,112017.0,337847,581683,94055,95429,97972,191814,531655,428212,140904,93092,874563,51992,529691,99873,536756,44927
6003,1344,8,197,10,96000.0,200,434,101,83,44,147,277,313,313,66,522,12,422,5,420,14
6005,40095,997,5966,458,69955.0,4317,15394,1528,1603,1785,3454,9487,11534,6591,4113,15114,894,14500,28,14946,448
6007,217884,3999,37982,10974,59863.0,27819,85292,11759,12783,12162,39013,53033,49940,23673,15521,96203,5346,79946,668,82300,2992
6009,45349,439,5928,1020,70119.0,4876,16809,1937,2504,1779,4178,8685,13549,7725,4992,16631,245,16564,67,16445,364
6011,21780,362,13177,196,61861.0,1558,7303,1532,1671,1677,2958,5618,5153,1837,1334,9538,338,6965,31,6957,346
6013,1161643,100260,304321,206918,110455.0,218293,405106,64333,71330,79499,141461,304947,316042,109672,74359,570386,20953,384153,48980,383545,21561
6015,27655,823,5663,824,53280.0,2070,9531,1554,1646,1805,2947,7512,7250,3107,1834,9245,674,8857,48,9197,334
6017,190568,1639,25362,9446,88770.0,34494,74535,8671,9441,12629,20383,41606,56957,25731,15150,87325,2890,71645,803,72888,1647
6019,1003150,45282,541344,106953,61276.0,93209,314421,75081,79779,84685,144229,281552,215984,73135,48705,415669,23208,291213,3800,282955,31466
6021,28675,168,12295,996,56332.0,2226,9753,2094,1694,2599,3994,7032,6625,2748,1889,12172,342,9411,10,9406,347
6023,137014,1740,16877,4332,53350.0,19376,53729,6905,7796,7113,21385,36267,32781,15982,8785,60195,3603,50126,773,51304,2425
6025,180051,4889,153218,2525,49078.0,12239,45541,13989,13167,16154,26474,48678,38508,13426,9655,58404,2826,42715,463,41486,4055
6027,18804,88,4452,298,60925.0,2217,7832,777,1491,1207,1583,4479,4909,2443,1915,8356,384,7448,25,7682,150
6029,905644,48741,495742,43812,58824.0,63839,274705,68078,72919,78485,133919,257558,195665,61305,37715,353637,17861,256844,1960,248349,26356
6031,151887,10019,84369,5868,63267.0,9159,43286,11321,10787,12799,22721,46975,31630,9280,6374,52477,2313,40973,215,39761,3525
6033,67749,1620,15050,965,53399.0,5747,26307,3882,4336,3876,6807,15190,18300,9504,5854,25509,1238,25069,234,25251,1056
6035,32949,2824,6494,514,59292.0,2098,8910,1617,1450,1513,4046,11381,8086,2992,1864,8639,378,8532,25,8732,178
6037,10019635,795213,4878619,1478561,76367.0,1530075,3342811,570367,579682,643054,1304471,2995466,2554378,803874,568343,4885032,287807,3055004,234147,2970408,372403
6039,156304,4645,92400,3559,66709.0,11366,43578,11243,11824,12940,21724,41976,34944,13356,8297,58744,1701,41877,335,38738,4840
6041,262387,5993,43043,15891,131008.0,65270,103751,11748,13938,16548,27453,53601,80423,34193,24483,130613,4546,99205,8427,99140,4611
6043,17225,149,2137,186,53304.0,2624,7588,714,893,764,1341,3619,5033,2787,2074,7040,393,7195,77,7415,173
6045,91534,635,24068,2019,56378.0,9612,34183,5080,6146,5062,10095,20892,23762,13184,7313,38972,2589,31594,84,32540,1643
6047,279150,8057,170730,20945,58861.0,15979,81618,20969,22498,24809,45413,75342,59131,18594,12394,108194,5788,75830,613,74849,6769
6049,8723,172,1322,67,51090.0,864,3413,458,606,373,722,1920,2191,1372,1081,2993,237,3176,0,3304,109
6051,13291,18,3628,613,71138.0,1833,5361,730,621,899,1544,3634,3872,1328,663,7097,147,5214,800,5153,208
6053,438953,10938,261961,25620,82013.0,44514,129977,30214,31576,34584,62055,119713,100872,35910,24029,189807,5862,124115,1956,111526,18451
6055,138795,2851,48198,10786,97498.0,24141,48745,6662,7196,9048,17344,34667,37123,15515,11240,70147,2374,46371,897,45758,2987
6057,102090,427,9992,1201,74617.0,19385,40877,4219,4776,5352,9163,21686,28870,17446,10578,46744,1535,39342,25,40077,800
6059,3182923,55075,1083093,678436,100485.0,585008,1057592,181985,182911,209332,411505,870620,854155,273470,198945,1596831,48117,1009475,23171,966061,91531
6061,400330,6415,58635,34011,99734.0,76411,149714,20780,24950,27194,45557,96918,107161,44757,33013,185819,5279,144435,1603,146576,3138
6063,19631,343,1889,139,57885.0,2233,8231,856,987,953,1788,3863,5638,3567,1979,7760,449,7782,21,7980,251
6065,2409331,156255,1211185,163759,76066.0,238066,740506,150424,162846,184845,338418,649335,577985,201114,144364,1045030,29696,710810,10036,687899,52607
6067,1571767,152051,374732,265013,76422.0,221577,559036,98692,102560,108414,194172,459780,387049,134272,86828,732788,34943,524093,14418,527825,31211
6069,63329,602,38544,1978,95606.0,6305,19144,4136,4233,5101,8656,17336,15801,4962,3104,30951,568,18576,237,17676,1468
6071,2171071,174169,1184955,162796,70287.0,197308,651743,149407,157649,167985,318364,616301,510458,157157,93750,934832,30402,621341,10268,594264,57479
6073,3296317,161630,1131455,394259,88240.0,552537,1139899,198377,191887,206127,448605,988198,798259,276452,188412,1572927,61584,1078315,39313,1060916,78983
6075,865933,45135,133241,297680,126187.0,243795,361222,38219,30641,31831,76273,335134,215882,78589,59364,511902,110443,250779,138913,336840,24382
6077,771406,53843,326185,127533,74962.0,64170,234662,52937,57161,63173,109742,210055,180815,58941,38582,327491,12122,222540,4424,215075,19587
6079,282771,4237,65588,10137,82514.0,43001,106790,12717,13750,14955,51026,64503,68586,34783,22451,130139,4017,102773,1056,103323,3467
6081,762488,17999,183970,227862,136837.0,162209,264892,41711,43385,43955,81730,222799,205039,71112,52757,409344,14264,250628,34575,245307,19585
6083,447651,8423,207554,24633,84356.0,58791,147446,27468,27640,28899,85764,111329,98330,38678,29543,211109,8738,138708,4828,132158,15288
6085,1932022,47518,485092,736650,140258.0,375482,646847,110990,113979,124430,233251,591157,496326,149145,112744,1007768,34930,611917,33409,596068,50779
6087,272138,3071,92641,13448,96093.0,43339,96476,13075,13519,15973,49586,64986,69214,29599,16186,136507,4810,91666,2497,89701,6775
